year,team,amount
2013,Chennai Super Kings,96375000
2013,Delhi Daredevils,57000000
2013,Kings XI Punjab,60000000
2013,Kolkata Knight Riders,50625000
2013,Mumbai Indians,150000000
2013,Pune Warriors India,187500000
2013,Rajasthan Royals,47250000
2013,Royal Challengers Bangalore,136125000
2013,Sunrisers Hyderabad,106500000
2014,Chennai Super Kings,208000000
2014,Delhi Daredevils,600000000
2014,Kings XI Punjab,394000000
2014,Kolkata Knight Riders,370000000
2014,Mumbai Indians,209500000
2014,Rajasthan Royals,169500000
2014,Royal Challengers Bangalore,305000000
2014,Sunrisers Hyderabad,370000000
2015,Chennai Super Kings,41000000
2015,Delhi Daredevils,384000000
2015,Kings XI Punjab,34000000
2015,Kolkata Knight Riders,40000000
2015,Mumbai Indians,51000000
2015,Rajasthan Royals,21000000
2015,Royal Challengers Bangalore,188000000
2015,Sunrisers Hyderabad,117000000
2016,Delhi Daredevils,310000000
2016,Gujarat Lions,166500000
2016,Kings XI Punjab,105500000
2016,Kolkata Knight Riders,57000000
2016,Mumbai Indians,131000000
2016,Rising Pune Supergiant,218000000
2016,Royal Challengers Bangalore,154500000
2016,Sunrisers Hyderabad,217500000
2017,Delhi Daredevils,140500000
2017,Gujarat Lions,38500000
2017,Kings XI Punjab,94500000
2017,Kolkata Knight Riders,143500000
2017,Mumbai Indians,82000000
2017,Rising Pune Supergiant,172000000
2017,Royal Challengers Bangalore,154000000
2017,Sunrisers Hyderabad,86500000
2018,Chennai Super Kings,405000000
2018,Delhi Daredevils,454000000
2018,Kings XI Punjab,674000000
2018,Kolkata Knight Riders,590000000
2018,Mumbai Indians,463500000
2018,Rajasthan Royals,658500000
2018,Royal Challengers Bangalore,488500000
2018,Sunrisers Hyderabad,583500000
2019,Chennai Super Kings,52000000
2019,Delhi Capitals,178000000
2019,Kings XI Punjab,325000000
2019,Kolkata Knight Riders,91500000
2019,Mumbai Indians,76000000
2019,Rajasthan Royals,138000000
2019,Royal Challengers Bangalore,163500000
2019,Sunrisers Hyderabad,44000000
2020,Chennai Super Kings,144500000
2020,Delhi Capitals,188500000
2020,Kings XI Punjab,260000000
2020,Kolkata Knight Riders,271500000
2020,Mumbai Indians,111000000
2020,Rajasthan Royals,141500000
2020,Royal Challengers Bangalore,215000000
2020,Sunrisers Hyderabad,69000000
2021,Chennai Super Kings,173500000
2021,Delhi Capitals,112500000
2021,Kolkata Knight Riders,75500000
2021,Mumbai Indians,117000000
2021,Punjab Kings,344000000
2021,Rajasthan Royals,242000000
2021,Royal Challengers Bangalore,350500000
2021,Sunrisers Hyderabad,38000000
2022,Chennai Super Kings,450500000
2022,Delhi Capitals,474000000
2022,Gujarat Titans,518500000
2022,Kolkata Knight Riders,475500000
2022,Lucknow Super Giants,590000000
2022,Mumbai Indians,479000000
2022,Punjab Kings,685500000
2022,Rajasthan Royals,610500000
2022,Royal Challengers Bangalore,554500000
2022,Sunrisers Hyderabad,679000000
